ImageID,Labels,Caption
2308.jpg,1,A girl playing a game on a laptop computer on an outdoor table.
7760.jpg,10 13,A sign hanging outside of an asian restaraunt
24875.jpg,17,A cat standing on top of a refrigerator.
7048.jpg,1,A woman surfing in front of several support beams for something.
2664.jpg,17,A cat that is laying on a laptop.
8511.jpg,1,A skier rides on a red rail on a snow filled slop.
5149.jpg,1,A beautiful woman swinging a tennis racquet at a ball.
14056.jpg,2 7,A red metro rides over a railway covered in graffiti
17648.jpg,1 4,A woman riding on the back of a motorcycle with a child.
16222.jpg,1,Someone holding up an electronic device in front of a desk.
10784.jpg,1,A person on a water board is pulled along.
17750.jpg,1 15,A pitcher winding up to throw the baseball.
3268.jpg,8 1 10,A Froyo delivery truck sitting on the side of the road.
16076.jpg,1 6,A row of red buses at a bus depot.
14979.jpg,1 3 6 15,A green double decker bus is going down the street.
26850.jpg,1 18,"Man, dog and children on skis  at the bottom of a hill."
28695.jpg,1,People like to have fun with oranges and tangerines by making smiles.
11661.jpg,1,Guy laughing as he lays down in the snow from falling with skis on
9435.jpg,1 10 3,An outside shot of a restaurant called Tommy's Joint.
8120.jpg,8 3 13,a tall stop sign next to a street
23267.jpg,1,a baseball player sitting on an upside down bucket while resting his arm on a baseball bat on a baseball field
3931.jpg,1 2 3 15,Cyclists stopped at a very decorative public area.
25388.jpg,1 15,A man riding atop an elephant while the elephant plays with a soccer ball.
19787.jpg,10,A wire strung across a street holding lights and signs
16747.jpg,1 15,A bench sitting on top of a lush green field.
9290.jpg,1,A man standing next to a woman while holding a toothbrush.
29019.jpg,1,A woman holding a pizza on a pan in her hands
3673.jpg,1,THERE IS A ERSON SITTIG O THE BUS AT THE WINDOW
7509.jpg,1 2 3 8 10,These two people are riding their bikes in the street.
5938.jpg,1,a woman using a video game remote control in a living room
23461.jpg,1,A skater grinds his skateboard down a rail.
9392.jpg,1,A group of people riding skis on top of a ski slope.
21882.jpg,18,Orange puffy dog standing in the light on a tile floor.
6509.jpg,1,A adult and a child with remotes in a room.
8388.jpg,1,A man with glasses checking something in an oven
28182.jpg,1,A skateboarder leaps  to clear the bar on a high jump.
19105.jpg,1 15,A dilapidated bench on a board walking overlooking the beach.
10092.jpg,1,A woman taking a picture of herself in front of the mirror.
10712.jpg,1 3 4,A picture of a motorcycle parked on a brick paved section of the street.
10176.jpg,1,a person on skis sits in the snow
3813.jpg,1,Two people inside of a bed with two side lamps on and the curtains closed.
14536.jpg,16,A small bird perched on the branch of a tree.
22843.jpg,1,A couple of beautiful women standing on either side of a server.
19594.jpg,1 4,Two dirt bike racers are racing each other.
5122.jpg,1,A woman on a laptop sitting on a street.
15088.jpg,1 9,Some people standing on a surf board on the beach.
13678.jpg,9,A boat floating on a river surrounded by green brush.
2868.jpg,1 15,A person sitting on top of an elephant and riding it.
2342.jpg,1 3 15,this is a woman playing tennis on a court
29129.jpg,1,Baseball players converse with each other on the field.
14444.jpg,1,A teenage girl throwing a Frisbie to a teenage boy.
26447.jpg,1 3 6,The bus is traveling down a two way street.
24174.jpg,1,A group of men playing a game of soccer.
22190.jpg,17,Black and yellow cat standing by the door.
3014.jpg,17,A cat sleeping on a pile of magazines and newspapers.
16355.jpg,1 3 4 6 8,A yellow bus driving down a street past cars.
27905.jpg,1 2 3 6 7 10,Two buses parked on the side of the road.
3752.jpg,10,Motion blur photograph of a busy city esplanade at night
24509.jpg,3,Four suitcases are sitting in the trunk of a car.
19012.jpg,1,A man riding skis down the side of a snow covered slope.
27193.jpg,16,A kitchen with a stove top oven next to a washer.
12537.jpg,1 18,a person on a beach with a dog and a frisbee
2676.jpg,1 7,A small yellow train on tracks with people watching.
27692.jpg,1,A professional tennis player swinging her racket towards the ball.
16014.jpg,1,People are in front of a large bright screen.
24292.jpg,18,A dog sits on a couch with pillows.
23514.jpg,1 18,Two white dogs walking next to the legs of a person.
16241.jpg,1,Onlookers record video of men on elephants moving logs on a river.
7795.jpg,5,A large Delta passenger airplane ascending into the air with the nose of the plane pointing upward.
25441.jpg,1 3 4,A police officer on motorcycle is leading a parade.
9129.jpg,1,there is a woman that is pulling a boy on a luggage
6333.jpg,15,the inside of a cabin cruiser showing a sleep area and kitchen
28163.jpg,1 5,"A man standing next to a plane, it appears to be in a museum."
